File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\sainath\Desktop\freemind\controller\filter\util\SortedMapListModel.java,1225,500,405,318,363,493,156,24,88,8,87,3,
C:\Users\sainath\Desktop\freemind\controller\filter\util\SortedMapVector.java,2074,756,763,553,916,375,381,117,138,7,129,8,
C:\Users\sainath\Desktop\freemind\controller\FreeMindPopupMenu.java,596,261,177,157,142,246,102,0,46,8,50,0,
C:\Users\sainath\Desktop\freemind\controller\FreeMindToolBar.java,566,263,166,136,41,335,95,0,38,8,44,2,
C:\Users\sainath\Desktop\freemind\controller\LastOpenedList.java,1578,645,519,414,570,641,159,12,97,11,82,2,
C:\Users\sainath\Desktop\freemind\controller\MainToolBar.java,1998,825,659,514,587,760,282,85,141,10,123,9,
C:\Users\sainath\Desktop\freemind\controller\MapModuleManager.java,4594,1789,1548,1257,1743,1135,927,73,359,27,321,6,
C:\Users\sainath\Desktop\freemind\controller\MapMouseMotionListener.java,1139,470,370,297,325,444,193,0,73,10,92,0,
C:\Users\sainath\Desktop\freemind\controller\MapMouseWheelListener.java,260,115,80,64,49,118,49,0,11,7,23,0,
C:\Users\sainath\Desktop\freemind\controller\MenuBar.java,5456,2354,1706,1395,801,1896,1364,438,532,21,362,38,
C:\Users\sainath\Desktop\freemind\controller\MenuItemEnabledListener.java,109,58,28,22,0,88,5,0,1,7,7,0,
C:\Users\sainath\Desktop\freemind\controller\MenuItemSelectedListener.java,109,58,28,22,0,88,5,0,1,7,7,0,
C:\Users\sainath\Desktop\freemind\controller\MindMapNodesSelection.java,1857,668,678,509,946,424,285,0,98,8,91,2,
C:\Users\sainath\Desktop\freemind\controller\NodeDragListener.java,1079,470,343,266,235,582,102,12,65,9,70,1,
C:\Users\sainath\Desktop\freemind\controller\NodeDropListener.java,618,242,211,165,248,187,104,0,28,7,41,0,
C:\Users\sainath\Desktop\freemind\controller\NodeKeyListener.java,427,173,142,112,149,138,78,0,20,8,33,0,
C:\Users\sainath\Desktop\freemind\controller\NodeMotionListener.java,807,307,280,219,348,207,153,0,36,7,54,0,
C:\Users\sainath\Desktop\freemind\controller\NodeMouseMotionListener.java,873,328,306,239,398,207,159,0,42,7,58,0,
C:\Users\sainath\Desktop\freemind\controller\printpreview\BrowseAction.java,470,223,136,110,6,296,78,12,29,6,40,1,
C:\Users\sainath\Desktop\freemind\controller\printpreview\Preview.java,1477,620,482,375,355,582,254,79,103,6,90,6,
C:\Users\sainath\Desktop\freemind\controller\printpreview\PreviewDialog.java,1274,551,402,321,224,622,250,12,95,6,58,4,
