File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\AttributeNotExistsCondition.java,12,45,31,24,17,58,13,1,5,0,6,1,14,40,143,40,39,134,21,26,5,0,4,2,2,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\CompareConditionAdapter.java,19,41,33,26,33,43,13,1,4,0,5,1,5,15,141,56,38,180,24,38,2,0,2,2,6,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\Condition.java,3,51,27,22,0,85,4,0,2,0,5,4,33,100,108,0,18,29,8,5,2,0,2,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConditionFactory.java,66,35,37,28,51,16,19,2,8,0,4,0,6,19,139,80,64,741,51,92,4,3,6,20,24,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConditionNotSatisfiedDecorator.java,11,47,29,23,3,66,16,1,7,0,6,1,17,55,121,35,34,146,23,27,6,0,5,3,1,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConditionRenderer.java,11,43,33,25,27,50,10,0,5,0,6,1,19,44,182,42,41,122,20,20,4,0,4,1,3,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\ConjunctConditions.java,21,41,33,26,25,38,17,3,11,0,5,1,9,27,104,66,44,264,24,52,6,0,5,6,5,Data I/O Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\DisjunctConditions.java,21,41,33,26,25,38,17,3,11,0,5,1,9,27,104,66,44,264,24,52,6,0,5,6,5,Data I/O Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\IconContainedCondition.java,23,43,32,26,24,46,14,3,7,0,6,1,6,15,149,58,47,185,25,47,3,0,3,6,3,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\IgnoreCaseNodeContainsCondition.java,9,47,29,23,3,66,15,1,6,0,7,1,8,25,147,30,36,139,24,22,2,0,2,2,1,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\JCondition.java,2,51,27,22,0,69,12,0,5,0,9,5,42,100,159,0,27,100,15,6,4,0,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\NodeCompareCondition.java,13,46,30,24,9,62,16,0,5,0,6,1,6,18,146,30,37,157,27,29,2,0,2,4,0,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\NodeCondition.java,6,42,33,25,29,46,11,0,4,0,8,2,18,37,225,25,34,147,17,15,3,0,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\filter\condition\NodeContainsCondition.java,9,47,29,23,3,67,15,1,6,0,7,1,8,25,145,30,35,140,24,22,2,0,2,2,1,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\NoFilteringCondition.java,9,41,33,25,31,45,12,0,4,0,8,1,13,25,222,26,35,155,18,22,2,1,3,1,0,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\condition\SelectedViewCondition.java,11,42,33,25,31,47,11,0,4,0,7,1,12,25,217,33,37,136,18,23,2,1,3,1,0,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\DefaultFilter.java,39,40,34,26,36,33,15,3,6,0,6,0,12,29,179,56,55,277,26,84,12,0,11,0,7,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\Filter.java,5,49,28,23,0,75,13,0,5,1,4,2,17,100,32,35,23,103,15,16,3,0,3,0,6,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\filter\FilterComposerDialog.java,146,40,34,27,31,30,21,1,9,0,7,0,3,11,132,36,46,433,27,427,13,4,15,22,49,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\FilterController.java,38,42,32,26,26,45,16,1,6,0,6,0,7,19,160,41,43,215,25,89,7,3,7,7,2,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\FilterInfo.java,8,44,31,24,14,45,15,8,6,0,10,1,12,23,241,20,38,200,19,23,6,0,3,0,3,Algorithmic Oriented,2,* Needs more comments. * Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\controller\filter\FilterToolbar.java,55,42,32,26,26,42,15,1,8,0,8,0,3,8,176,32,49,226,22,144,9,0,5,12,4,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\util\ExtendedComboBoxModel.java,31,39,35,27,37,28,16,5,6,0,7,1,9,19,213,64,54,355,29,64,8,0,6,0,8,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\util\SortedComboBoxModel.java,3,49,29,22,3,65,12,6,2,0,8,4,55,125,175,33,31,100,16,8,5,0,5,0,2,Algorithmic Oriented,1,* Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\controller\filter\util\SortedListModel.java,3,50,28,22,0,78,11,0,3,0,4,3,33,150,64,0,20,84,17,8,7,0,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\filter\util\SortedMapListModel.java,20,41,33,26,30,40,13,2,7,0,7,1,8,17,216,43,53,192,21,45,5,0,4,0,9,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\filter\util\SortedMapVector.java,34,36,37,27,44,18,18,6,7,0,6,0,3,9,172,50,53,612,29,80,3,0,3,0,23,Algorithmic Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\FreeMindPopupMenu.java,9,44,30,26,24,41,17,0,8,0,8,1,20,42,169,34,36,246,22,28,3,3,6,0,0,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\FreeMindToolBar.java,9,46,29,24,7,59,17,0,7,0,8,1,19,55,150,15,38,171,23,25,8,1,5,5,4,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\LastOpenedList.java,26,41,33,26,36,41,10,1,6,0,5,1,27,57,186,63,53,151,22,43,7,6,12,5,4,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\MainToolBar.java,33,41,33,26,29,38,14,4,7,0,6,1,15,40,155,58,47,226,22,76,2,10,12,6,19,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\MapModuleManager.java,76,39,34,27,38,25,20,2,8,0,7,1,19,42,172,52,52,500,30,188,16,21,36,7,14,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\MapMouseMotionListener.java,18,41,33,26,29,39,17,0,6,0,8,1,31,63,227,31,38,263,27,43,3,16,14,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\MapMouseWheelListener.java,4,44,31,25,19,46,19,0,4,0,9,3,23,50,195,30,22,238,23,12,3,0,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\MenuBar.java,90,43,31,26,15,35,25,8,10,1,7,0,15,56,99,66,45,443,34,245,7,33,38,101,12,Algorithmic Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\MenuItemEnabledListener.java,1,53,26,21,0,81,5,0,1,0,7,6,50,100,137,0,15,30,7,3,2,0,2,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\MenuItemSelectedListener.java,1,53,26,21,0,81,5,0,1,0,7,6,50,100,137,0,15,30,7,3,2,0,2,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\MindMapNodesSelection.java,30,36,37,27,51,23,15,0,5,0,5,0,8,22,151,66,45,406,30,58,3,3,5,5,1,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\NodeDragListener.java,17,44,32,25,22,54,9,1,6,0,7,1,30,66,218,42,41,106,19,32,2,8,10,4,2,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\NodeDropListener.java,10,39,34,27,40,30,17,0,5,0,7,1,19,36,219,38,30,325,30,20,1,3,4,0,0,Data Manipulation Oriented,0,
C:\Users\sainath\Desktop\freemind\controller\NodeKeyListener.java,7,40,33,26,35,32,18,0,5,0,8,2,17,37,210,35,28,326,28,16,3,0,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\NodeMotionListener.java,13,38,35,27,43,26,19,0,5,0,7,1,11,21,235,38,30,436,36,25,3,0,3,0,0,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\NodeMouseMotionListener.java,14,38,35,27,46,24,18,0,5,0,7,1,10,20,228,37,33,454,34,28,3,0,3,0,0,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\printpreview\BrowseAction.java,7,48,29,23,1,63,17,3,6,0,9,1,4,11,154,24,36,158,19,24,1,0,1,2,3,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\printpreview\Preview.java,24,42,33,25,24,39,17,5,7,0,6,0,1,4,150,70,50,265,27,56,1,0,1,0,18,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\printpreview\PreviewDialog.java,21,43,32,25,18,49,20,1,7,0,5,1,4,16,81,42,47,245,32,48,1,1,2,10,4,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\printpreview\ZoomAction.java,3,49,28,23,0,66,18,0,4,0,9,3,8,25,137,16,21,153,19,11,1,0,1,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\controller\StructuredMenuHolder.java,93,40,33,27,28,29,24,2,8,0,9,0,13,31,188,47,42,507,30,271,16,33,38,29,7,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\controller\StructuredMenuItemHolder.java,8,43,32,25,20,41,22,0,6,0,11,1,6,14,203,26,26,314,22,29,2,0,2,0,0,Normal,2,* Needs more comments. * Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\extensions\ExportHook.java,45,41,33,26,28,42,14,3,6,0,6,1,37,103,158,64,49,211,27,86,6,30,33,19,1,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\HookAdapter.java,14,43,32,25,21,47,16,0,5,0,9,1,28,57,216,30,35,202,22,38,14,2,11,1,0,Normal,2,* Needs more comments. * Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\extensions\HookDescriptorBase.java,33,41,33,26,29,40,14,2,8,0,6,1,19,48,157,59,47,213,23,75,8,9,15,8,3,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\extensions\HookDescriptorPluginAction.java,24,42,33,26,28,43,13,1,7,0,7,1,8,18,194,37,48,185,20,57,5,1,5,3,0,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\extensions\HookDescriptorRegistration.java,4,47,30,23,7,63,14,0,4,0,9,3,38,83,199,7,38,131,19,12,3,3,5,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\extensions\HookFactory.java,7,50,28,23,0,72,16,0,3,0,4,4,52,200,80,0,16,136,25,18,11,0,10,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\HookFactoryAdapter.java,9,45,31,25,23,55,8,0,5,0,7,2,47,90,232,26,38,87,15,18,7,3,9,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\HookInstanciationMethod.java,23,42,32,26,15,37,31,0,7,0,8,1,9,23,164,26,41,512,39,71,11,0,7,5,0,Normal,1,* Needs more comments. 
C:\Users\sainath\Desktop\freemind\extensions\HookRegistration.java,1,54,25,21,0,60,14,0,4,0,11,11,60,150,107,0,18,120,12,4,3,0,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\ImportWizard.java,40,41,33,26,35,34,14,3,7,0,6,1,32,73,183,73,51,249,24,85,8,25,28,18,9,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\MindMapHook.java,4,51,27,22,0,76,9,0,4,0,5,6,78,275,73,0,25,66,11,13,11,0,11,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\ModeControllerHook.java,1,57,24,19,0,64,11,0,0,0,11,14,100,150,176,0,0,80,13,2,3,0,3,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\extensions\ModeControllerHookAdapter.java,1,55,25,21,0,57,15,0,3,0,13,12,140,233,205,0,14,133,16,4,4,4,7,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\extensions\NodeHook.java,2,51,27,22,0,77,10,0,3,0,6,5,66,200,88,0,14,75,15,5,4,0,4,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\NodeHookAdapter.java,5,47,29,24,4,58,20,0,5,0,11,2,20,40,205,10,23,200,21,19,10,0,4,1,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\extensions\PermanentNodeHook.java,6,50,27,22,0,75,13,0,5,0,3,4,56,300,32,0,22,103,19,15,12,0,9,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\PermanentNodeHookAdapter.java,20,45,30,25,15,50,17,0,7,0,8,1,32,66,201,25,34,211,24,54,16,5,18,12,1,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\PermanentNodeHookSubstituteUnknown.java,6,46,29,25,14,54,16,0,6,0,8,2,15,33,161,25,29,177,19,19,3,0,3,0,0,Normal,0,
C:\Users\sainath\Desktop\freemind\extensions\StatefulMindMapNodeHookAdapter.java,4,46,29,24,3,63,19,0,6,0,10,0,0,0,231,0,38,176,27,10,0,0,0,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\sainath\Desktop\freemind\extensions\StatefulNodeHook.java,2,47,29,24,0,68,22,0,5,0,6,0,0,0,64,0,22,181,25,7,0,0,0,0,0,Normal,0,
