File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\dialogs\ManagePatternsPopupDialog.java,716,526,386,54,80,0,110,431,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\FlatNodeTableFilterModel.java,149,75,57,9,17,0,57,238,22,158
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\JCalendar.java,671,266,206,27,82,3,323,1302,20,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\JDayChooser.java,1140,638,494,96,160,0,342,1405,20,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\JMonthChooser.java,407,200,157,25,59,0,148,631,20,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\JSpinField.java,368,175,135,17,34,0,159,688,20,150
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\JTripleCalendar.java,222,148,120,10,34,0,40,225,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\JYearChooser.java,153,55,43,4,16,0,82,333,20,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\ReminderHook.java,48,18,13,1,9,0,21,148,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\RemoveReminderHook.java,57,20,16,1,7,0,30,170,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\TableSorter.java,524,349,260,59,66,1,109,813,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\TimeList.java,1125,819,578,84,141,3,165,565,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\TimeManagement.java,491,376,261,22,59,4,56,244,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\time\TimeManagementOrganizer.java,100,53,39,9,11,0,36,180,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util\html\ClickableImageCreator.java,138,82,62,6,24,0,32,201,18,137
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util\window\WindowClosingAdapter.java,54,19,14,1,7,0,28,182,20,147
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util\xslt\ExportDialog.java,300,214,167,12,35,15,51,281,20,147
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\accessories\plugins\util\xslt\XmlExporter.java,74,28,24,0,11,0,35,190,24,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\de\foltin\CompileXsdStart.java,779,611,386,62,84,25,84,421,22,152
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\de\foltin\StringEncoder.java,147,73,47,19,17,0,57,273,4,19
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\BooleanProperty.java,97,52,37,5,21,0,24,164,22,162
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\ColorProperty.java,154,93,70,8,26,0,35,191,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\ComboProperty.java,153,95,68,7,22,0,36,212,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\DontShowNotificationProperty.java,34,8,6,0,4,0,22,162,22,162
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\FontProperty.java,108,63,47,6,20,0,25,161,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\FreeMindProgressMonitor.java,169,111,86,7,15,0,43,209,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\FreeMindTask.java,198,127,101,12,21,2,50,279,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\IconProperty.java,125,79,62,7,21,0,25,162,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\NamedObject.java,67,30,22,6,9,0,28,170,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\NextLineProperty.java,49,18,12,2,9,0,22,156,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\NumberProperty.java,108,64,50,5,16,0,28,173,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\OptionalDontShowMeAgainDialog.java,234,172,121,13,20,0,42,249,22,154
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\PasswordProperty.java,55,18,13,1,10,0,27,161,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\PropertyBean.java,57,25,19,1,9,0,23,163,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\PropertyControl.java,36,8,7,0,6,0,22,156,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\RemindValueProperty.java,59,22,15,0,8,1,29,166,22,154
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\ScriptEditorProperty.java,138,82,59,8,24,0,32,177,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\SeparatorProperty.java,52,20,14,2,10,0,22,156,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\StringProperty.java,97,46,35,3,18,0,33,177,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\TextTranslator.java,28,4,3,0,2,0,22,154,22,154
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\ThreeCheckBoxProperty.java,166,102,75,18,35,1,29,172,22,162
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\UnicodeReader.java,129,69,54,12,15,0,45,200,0,0
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\common\XmlBindingTools.java,189,132,99,18,23,0,34,190,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\BlindIcon.java,71,18,13,2,11,0,42,187,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\ColorSwatch.java,57,28,21,3,10,0,19,145,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\Controller.java,2118,1593,1150,157,270,9,255,1000,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\FreeMindPopupMenu.java,85,44,31,4,12,0,29,159,23,147
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\FreeMindToolBar.java,92,38,30,2,13,0,41,186,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\LastOpenedList.java,137,84,60,13,13,2,40,242,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\LastStateStorageManagement.java,183,137,95,25,17,0,29,170,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MainToolBar.java,49,21,16,1,9,0,19,145,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MapModuleManager.java,482,307,203,56,54,0,121,697,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MapMouseMotionListener.java,119,68,48,6,21,3,30,213,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MapMouseWheelListener.java,51,20,14,1,9,0,22,154,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MenuBar.java,517,370,264,18,71,2,76,372,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MenuItemEnabledListener.java,35,6,5,0,2,0,27,176,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MenuItemSelectedListener.java,30,6,5,0,2,0,22,156,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\MindMapNodesSelection.java,164,119,85,35,12,0,33,204,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\NodeDragListener.java,121,71,50,10,22,0,28,174,18,137
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\NodeDropListener.java,75,38,24,5,16,0,21,151,18,137
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\NodeKeyListener.java,65,28,18,3,14,0,23,170,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\NodeMotionListener.java,91,50,29,7,19,0,22,155,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\NodeMouseMotionListener.java,98,54,31,8,22,0,22,155,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\StructuredMenuHolder.java,600,407,302,47,80,2,113,407,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\StructuredMenuItemHolder.java,76,43,31,6,11,0,22,156,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\ZoomListener.java,34,4,3,0,3,0,27,176,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\DefaultFilter.java,221,131,92,28,21,0,69,217,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\Filter.java,56,19,18,0,11,0,26,157,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\FilterComposerDialog.java,783,615,469,55,82,1,86,256,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\FilterController.java,219,151,108,18,28,0,40,200,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\FilterInfo.java,78,34,23,4,11,0,33,164,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\FilterToolbar.java,328,233,169,21,41,0,54,196,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\AttributeCompareCondition.java,100,56,38,7,9,0,35,175,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\AttributeExistsCondition.java,83,40,29,6,8,0,35,175,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\AttributeNotExistsCondition.java,83,40,29,6,8,0,35,175,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\CompareConditionAdapter.java,93,62,43,8,8,0,23,151,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\Condition.java,39,10,9,0,6,0,23,156,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\ConditionFactory.java,249,200,100,101,17,0,32,163,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\ConditionNotSatisfiedDecorator.java,100,45,36,3,12,0,43,180,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\ConditionRenderer.java,78,36,29,5,9,0,33,171,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\ConjunctConditions.java,120,66,53,9,11,0,43,180,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\DisjunctConditions.java,120,66,53,9,11,0,43,180,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\IconContainedCondition.java,121,75,54,17,16,0,30,170,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\IconNotContainedCondition.java,111,71,54,13,14,0,26,165,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\IgnoreCaseNodeContainsCondition.java,67,36,26,3,8,0,23,151,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\JCondition.java,43,10,8,0,5,0,28,165,23,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\NodeCompareCondition.java,79,48,34,4,8,0,23,151,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\NodeCondition.java,60,24,17,4,10,0,26,157,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\NodeContainsCondition.java,65,35,26,3,7,0,23,151,23,151
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\NoFilteringCondition.java,75,39,28,7,12,0,24,159,23,155
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\controller\filter\condition\SelectedViewCondition.java,76,41,29,7,11,0,24,159,23,155
