Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\preferences,7,2725,1628,1077,235,385,191,712,3190,150,1036
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\preferences\layout,5,2654,1618,1069,235,377,191,659,2856,107,738
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\view,41,10533,7210,5279,1163,1171,77,2152,11086,825,6069
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\view\mindmapview,40,10430,7150,5235,1154,1155,76,2125,10884,807,5932
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\view\mindmapview\attributeview,8,1680,1138,811,189,177,1,365,1578,175,1220
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins,49,14044,9315,6643,911,1716,73,3013,13164,911,6560
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\collaboration,21,5409,3349,2438,275,672,59,1388,6431,445,3156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\collaboration\database,6,1322,929,681,74,172,2,221,1155,128,896
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\collaboration\jabber,6,1889,983,701,51,265,57,641,2968,133,937
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\collaboration\jabber\mindmap,3,1026,531,355,33,128,15,367,1546,68,475
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\collaboration\jabber\view,2,816,439,336,18,131,42,246,1265,44,314
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\collaboration\socket,9,2198,1437,1056,150,235,0,526,2308,184,1323
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\help,1,64,25,22,0,9,0,30,172,21,148
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\latex,2,225,167,133,12,30,0,28,169,20,153
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\map,14,5822,4014,2776,467,710,11,1098,4252,247,1885
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\script,6,1692,1264,874,117,185,1,243,1228,112,771
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\plugins\svg,5,832,496,400,40,110,2,226,912,66,447
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\tests,22,4323,2608,1772,254,709,4,1006,4336,398,2964
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\tests\freemind,22,4323,2608,1772,254,709,4,1006,4336,398,2964
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\tests\freemind\findreplace,2,714,492,324,86,150,2,72,399,38,290
